Name,Symbol,Name Symbol,FT
Apple Inc. ,AAPL,Apple Inc. AAPL,https://www.ft.com/stream/a39a4558-f562-4dca-8774-000246e6eebe?page=2
Microsoft Corporation ,MSFT,Microsoft Corporation MSFT,https://www.ft.com/stream/4f447b5d-53f5-41bd-ab42-3c0cfc161699?page=2
Amazon.com Inc. ,AMZN,Amazon.com Inc. AMZN,https://www.ft.com/stream/84cf4073-a674-4a93-aef9-dcc1832a65cb?page=2
Berkshire Hathaway Inc. Class B ,BRK.B,Berkshire Hathaway Inc. Class B BRK.B,https://www.ft.com/stream/e1028fc7-6cb5-4215-a550-77ce239c5f79?page=2
Alphabet Inc. Class A ,GOOGL,Alphabet Inc. Class A GOOGL,https://www.ft.com/stream/6656b3e4-1a78-4960-90a0-8d422450f9a6?page=2
UnitedHealth Group Incorporated ,UNH,UnitedHealth Group Incorporated UNH,https://www.ft.com/stream/18f33bb8-a001-46e0-b5dd-008add1d3437?page=2
Johnson & Johnson ,JNJ,Johnson & Johnson JNJ,https://www.ft.com/stream/03202114-3abe-4e53-9306-8f8aabae6c5a?page=2
Exxon Mobil Corporation ,XOM,Exxon Mobil Corporation XOM,https://www.ft.com/stream/0fb8f46d-03f9-473a-b9ef-ad3d84e6945e?page=2
JPMorgan Chase & Co. ,JPM,JPMorgan Chase & Co. JPM,https://www.ft.com/stream/3de2fad0-44c8-492f-9b62-7e1374292a9e?page=2
NVIDIA Corporation ,NVDA,NVIDIA Corporation NVDA,https://www.ft.com/nvidia?page=2
Procter & Gamble Company ,PG,Procter & Gamble Company PG,https://www.ft.com/stream/5ee99a12-84ae-439e-9ef3-a0d043016e34?page=2
Tesla Inc ,TSLA,Tesla Inc TSLA,https://www.ft.com/stream/35edec46-ef7b-4f9b-b85a-25174e6e07fa?page=2
Visa Inc. Class A ,V,Visa Inc. Class A V,https://www.ft.com/stream/2637f6d1-ed91-4999-ba4c-03e2d227e3e9?page=2
Home Depot Inc. ,HD,Home Depot Inc. HD,https://www.ft.com/stream/464f7780-6a0a-4d35-a6de-4e433e03d88f?page=2
Chevron Corporation ,CVX,Chevron Corporation CVX,https://www.ft.com/stream/50947485-d526-4e6b-adb1-08bec39a2a73?page=2
Mastercard Incorporated Class A ,MA,Mastercard Incorporated Class A MA,https://www.ft.com/stream/97fa60a8-abaa-4e3f-a00d-2361eefee24c?page=2
Pfizer Inc. ,PFE,Pfizer Inc. PFE,https://www.ft.com/stream/a1fc5580-5bba-4df7-b9ea-dce73e9c2e1e?page=2
AbbVie Inc. ,ABBV,AbbVie Inc. ABBV,https://www.ft.com/stream/53f0dbe0-37a5-4e8c-905f-492e978a74d0?page=2
Eli Lilly and Company ,LLY,Eli Lilly and Company LLY,https://www.ft.com/stream/b149f4eb-f2bc-4b8b-b915-249b37caaf65?page=2
Merck & Co. Inc. ,MRK,Merck & Co. Inc. MRK,https://www.ft.com/stream/26a3df92-2884-4b89-b41b-a496f5f60750?page=2
Meta Platforms Inc. Class A ,META,Meta Platforms Inc. Class A META,https://www.ft.com/stream/7e37c19e-8fa3-439f-a870-b33f0520bcc0?page=2
PepsiCo Inc. ,PEP,PepsiCo Inc. PEP,https://www.ft.com/stream/221367a0-c59c-44b1-bd30-c51464a9f6ea?page=2
Coca-Cola Company ,KO,Coca-Cola Company KO,https://www.ft.com/stream/db5e8af8-585b-4a39-b269-d64711c95c74?page=2
Bank of America Corp ,BAC,Bank of America Corp BAC,https://www.ft.com/stream/74bb961d-a454-4214-bff7-390d68752fb0?page=2
Broadcom Inc. ,AVGO,Broadcom Inc. AVGO,https://www.ft.com/stream/5232c038-84ed-4eca-96f1-cbb078327c07?page=2
Thermo Fisher Scientific Inc. ,TMO,Thermo Fisher Scientific Inc. TMO,https://www.ft.com/stream/1562bb0e-fa89-4fcd-8adb-862b155dbc36?page=2
Costco Wholesale Corporation ,COST,Costco Wholesale Corporation COST,https://www.ft.com/stream/fd4166b7-4f38-4e22-8319-0ee2e7d117bf?page=2
Walmart Inc. ,WMT,Walmart Inc. WMT,https://www.ft.com/stream/4a210ea8-7a54-4681-8a3b-b4ed2b7f7038?page=2
McDonald's Corporation ,MCD,McDonald's Corporation MCD,https://www.ft.com/stream/cd3da4b6-b8af-4c29-9453-492b79dce3ca?page=2
Cisco Systems Inc. ,CSCO,Cisco Systems Inc. CSCO,https://www.ft.com/stream/6a4eb9fb-adb9-4ba9-a229-38284f9be159?page=2
Accenture Plc Class A ,ACN,Accenture Plc Class A ACN,https://www.ft.com/stream/84a521e2-612a-49fe-953b-179daeccdade?page=2
NextEra Energy Inc. ,NEE,NextEra Energy Inc. NEE,https://www.ft.com/stream/66c8d38f-2c02-4d68-9d81-91ac932b898e?page=2
Verizon Communications Inc. ,VZ,Verizon Communications Inc. VZ,https://www.ft.com/stream/1d7dee26-2bd6-4281-9683-c66412c94e02?page=2
Walt Disney Company ,DIS,Walt Disney Company DIS,https://www.ft.com/stream/725b01e3-d084-43ce-8fde-e1569668ad2a?page=2
Adobe Incorporated ,ADBE,Adobe Incorporated ADBE,https://www.ft.com/stream/78fbb32e-3bff-46d9-95ec-aff8e2836dda?page=2
Bristol-Myers Squibb Company ,BMY,Bristol-Myers Squibb Company BMY,https://www.ft.com/stream/679a6016-066e-481d-a88c-18c7b735dc2e?page=2
Philip Morris International Inc. ,PM,Philip Morris International Inc. PM,https://www.ft.com/stream/89c1a930-b684-43c7-a19d-b99e7127a372?page=2
Wells Fargo & Company ,WFC,Wells Fargo & Company WFC,https://www.ft.com/stream/1120e446-6695-4e49-91e6-fd1f7698388e?page=2
Comcast Corporation Class A ,CMCSA,Comcast Corporation Class A CMCSA,https://www.ft.com/stream/98cdeda9-6175-4556-854f-f1044968abda?page=2
NIKE Inc. Class B ,NKE,NIKE Inc. Class B NKE,https://www.ft.com/stream/416a5ed9-f17f-404d-83e5-f2c3716d122b?page=2
Raytheon Technologies Corporation ,RTX,Raytheon Technologies Corporation RTX,https://www.ft.com/stream/8463a0a9-b677-47ce-845c-1edce14a8700?page=2
Honeywell International Inc. ,HON,Honeywell International Inc. HON,https://www.ft.com/stream/de2cc9ab-a5ff-4e1a-a5ed-48cf1ab0d161
Amgen Inc. ,AMGN,Amgen Inc. AMGN,https://www.ft.com/amgen?page=2
Netflix Inc. ,NFLX,Netflix Inc. NFLX,https://www.ft.com/stream/2fa688f8-97f0-4596-a705-822b4a5f9d6f?page=2